mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747747232.282146,0j,0j,0j,(-5120+5120j),(151-21j),(124-90j),(76-138j),(27-161j),(-3-159j),(-46-157j),(-82-150j),(-116-134j),(-144-126j),(-164-111j),(-178-100j),(-212-64j),(-245-20j),(-287+33j),(-305+68j),(-318+119j),(-321+164j),(-295+229j),(-262+307j),(-223+379j),(-169+434j),(-123+484j),(-40+522j),(49+532j),(147+554j),(232+542j),(334+522j),(408+500j),0j,(640+347j),(666+294j),(705+173j),(753+36j),(763-77j),(754-209j),(721-354j),(678-462j),(577-580j),(471-696j),(342-757j),(175-808j),(22-834j),(-130-799j),(-297-745j),(-436-668j),(-565-546j),(-674-394j),(-742-229j),(-736-32j),(-696+178j),(-600+337j),(-466+498j),(-287+612j),(-61+662j),(220+594j),(466+412j),(10246+5376j),(-14416-32640j),(128+0j),0j
38182b2eef40,1747747232.3021886,0j,0j,0j,(-5120+5120j),(110-64j),(70-114j),(24-136j),(-17-143j),(-47-145j),(-87-131j),(-112-108j),(-152-90j),(-171-67j),(-199-29j),(-213-4j),(-234+21j),(-258+56j),(-252+104j),(-243+134j),(-241+173j),(-238+236j),(-209+302j),(-183+359j),(-144+413j),(-86+457j),(-20+466j),(45+481j),(118+495j),(208+504j),(295+490j),(370+469j),(473+425j),0j,(653+279j),(659+221j),(714+112j),(752-9j),(762-130j),(744-253j),(677-359j),(632-480j),(542-587j),(425-681j),(300-747j),(164-785j),(29-800j),(-118-787j),(-268-743j),(-407-663j),(-536-561j),(-646-429j),(-718-254j),(-726-68j),(-692+120j),(-632+287j),(-514+465j),(-334+597j),(-106+668j),(167+636j),(429+467j),(10246+5376j),(-14416-32640j),(128+0j),0j
38182b2eef40,1747747232.3116424,0j,0j,0j,(-5120+5120j),(3+165j),(114+106j),(161+23j),(150-70j),(101-128j),(34-152j),(-34-156j),(-102-129j),(-172-73j),(-192+14j),(-171+85j),(-137+151j),(-90+198j),(-7+248j),(85+254j),(200+232j),(293+160j),(371+33j),(380-124j),(310-281j),(197-403j),(46-455j),(-136-480j),(-314-411j),(-478-287j),(-568-77j),(-572+147j),(-489+364j),0j,(-85+708j),(170+668j),(425+568j),(635+374j),(736+87j),(749-233j),(586-475j),(379-713j),(79-783j),(-258-766j),(-560-595j),(-766-298j),(-766-298j),(-699+366j),(-498+619j),(-174+765j),(183+766j),(513+575j),(711+285j),(728-73j),(568-411j),(289-620j),(-64-688j),(-402-540j),(-634-218j),(-603+225j),(-303+557j),(10246+5376j),(-14416-32640j),(128+0j),0j
38182b2eef40,1747747232.3206434,0j,0j,0j,(-5120+5120j),(89-99j),(43-144j),(-18-164j),(-53-127j),(-100-99j),(-128-77j),(-141-57j),(-164-46j),(-187-31j),(-198+11j),(-201+40j),(-194+83j),(-206+110j),(-190+133j),(-186+176j),(-204+220j),(-189+264j),(-165+333j),(-103+372j),(-37+427j),(2+461j),(68+472j),(132+500j),(206+474j),(312+455j),(385+429j),(437+349j),(546+332j),0j,(667+149j),(679+76j),(717-46j),(753-159j),(720-265j),(677-375j),(608-458j),(538-561j),(435-658j),(317-768j),(186-830j),(44-808j),(-124-765j),(-263-746j),(-390-695j),(-518-582j),(-639-449j),(-734-320j),(-757-160j),(-731+22j),(-665+195j),(-592+358j),(-446+520j),(-253+648j),(-16+674j),(-16+674j),(499+391j),(10246+5376j),(-14416-32640j),(1152+0j),0j
38182b2eef40,1747747232.3316998,0j,0j,0j,(-5120+5120j),(7+134j),(86+103j),(139+60j),(142+5j),(142-30j),(126-73j),(115-106j),(75-144j),(63-172j),(29-194j),(-11-204j),(-48-213j),(-104-215j),(-142-211j),(-207-199j),(-249-170j),(-313-130j),(-362-58j),(-397+15j),(-420+106j),(-412+181j),(-377+269j),(-342+349j),(-278+433j),(-195+506j),(-100+550j),(4+584j),(122+585j),0j,(392+542j),(473+462j),(582+375j),(688+266j),(744+113j),(766-52j),(731-214j),(702-383j),(608-517j),(485-656j),(325-739j),(145-786j),(-40-803j),(-246-752j),(-417-661j),(-561-529j),(-691-379j),(-760-164j),(-761+27j),(-709+241j),(-579+411j),(-411+575j),(-173+681j),(105+666j),(354+548j),(540+307j),(613-13j),(10246+5376j),(-14416-32640j),(128+0j),0j
38182b2eef40,1747747232.3416848,0j,0j,0j,(-5120+5120j),(-59+141j),(20+143j),(107+93j),(155+24j),(147-45j),(115-103j),(59-144j),(18-177j),(-57-179j),(-117-155j),(-165-115j),(-208-58j),(-233+16j),(-227+99j),(-194+182j),(-151+265j),(-74+323j),(48+363j),(184+338j),(332+254j),(423+146j),(468-7j),(465-168j),(388-324j),(291-468j),(126-551j),(-94-588j),(-314-570j),0j,(-656-241j),(-670-6j),(-672+246j),(-569+477j),(-364+663j),(-111+757j),(153+737j),(421+652j),(615+473j),(773+219j),(804-75j),(708-387j),(510-601j),(223-734j),(-56-769j),(-352-673j),(-606-487j),(-738-179j),(-750+151j),(-593+428j),(-338+613j),(-21+691j),(308+617j),(554+384j),(651+15j),(514-362j),(164-595j),(10246+5376j),(-14416-32640j),(1152+0j),0j
38182b2eef40,1747747232.3506014,0j,0j,0j,(-5120+5120j),(-154-1j),(-128+113j),(-60+158j),(12+161j),(65+135j),(115+103j),(151+55j),(182-8j),(173-66j),(165-124j),(122-167j),(86-215j),(26-242j),(-43-263j),(-133-255j),(-209-243j),(-298-171j),(-368-93j),(-393+26j),(-379+157j),(-323+280j),(-246+379j),(-106+462j),(16+503j),(167+500j),(318+470j),(445+377j),(578+244j),0j,(717-141j),(590-378j),(468-550j),(267-672j),(62-752j),(-183-744j),(-393-656j),(-615-519j),(-737-320j),(-818-75j),(-807+153j),(-712+421j),(-533+622j),(-289+757j),(4+792j),(278+746j),(512+573j),(698+344j),(748+53j),(692-240j),(538-489j),(284-640j),(-21-700j),(-318-617j),(-572-361j),(-648+4j),(-514+361j),(10246+5376j),(-14672-32640j),(1152+0j),0j
38182b2eef40,1747747232.3605845,0j,0j,0j,(-5120+5120j),(-62+161j),(27+165j),(96+138j),(141+81j),(153+28j),(157-20j),(150-77j),(134-119j),(86-181j),(36-210j),(-8-229j),(-8-229j),(-115-223j),(-172-209j),(-234-171j),(-294-123j),(-348-48j),(-382+37j),(-390+135j),(-363+245j),(-302+348j),(-215+428j),(-94+488j),(31+518j),(152+523j),(287+500j),(421+444j),(550+337j),0j,(726+43j),(683-163j),(633-329j),(549-498j),(408-636j),(232-744j),(22-766j),(-199-760j),(-384-689j),(-564-568j),(-687-422j),(-792-204j),(-817+25j),(-759+268j),(-640+478j),(-454+647j),(-238+746j),(10+776j),(258+704j),(473+545j),(613+344j),(672+57j),(650-186j),(515-446j),(274-617j),(-69-638j),(-407-486j),(10246+5376j),(-14416-32640j),(1152+0j),0j
38182b2eef40,1747747232.3717282,0j,0j,0j,(-5120+5120j),(130+87j),(156-7j),(119-106j),(51-150j),(8-161j),(-66-173j),(-118-117j),(-161-92j),(-197-25j),(-205+48j),(-187+105j),(-167+174j),(-114+249j),(-34+283j),(32+313j),(139+307j),(229+262j),(321+201j),(408+106j),(444-37j),(424-162j),(377-309j),(263-418j),(137-515j),-568j,(-187-576j),(-352-509j),(-512-385j),0j,(-721+2j),(-679+196j),(-592+383j),(-455+597j),(-239+701j),(-1+782j),(224+746j),(474+641j),(644+475j),(787+235j),(826-25j),(757-294j),(626-529j),(389-685j),(150-789j),(-124-776j),(-402-691j),(-609-469j),(-744-183j),(-727+123j),(-605+400j),(-375+580j),(-82+688j),(244+636j),(517+417j),(654+80j),(557-329j),(10246+5376j),(-14416-32640j),(1152+0j),0j
38182b2eef40,1747747232.380606,0j,0j,0j,(-5120+5120j),(-113-22j),(-150+29j),(-125+88j),(-79+135j),(-37+159j),(-5+172j),(29+173j),(72+180j),(108+174j),(148+146j),(181+126j),(212+106j),(226+77j),(266+47j),(313+25j),(342-40j),(362-117j),(364-195j),(344-254j),(304-319j),(279-385j),(231-429j),(163-502j),(101-543j),(32-581j),(-50-589j),(-130-595j),(-280-593j),0j,(-505-554j),(-571-464j),(-674-367j),(-747-251j),(-778-119j),(-790+32j),(-784+151j),(-733+278j),(-695+407j),(-639+530j),(-546+635j),(-406+724j),(-255+787j),(-91+805j),(91+799j),(269+758j),(433+673j),(566+541j),(668+380j),(716+201j),(721+19j),(677-181j),(596-367j),(448-528j),(218-645j),(-73-659j),(-368-524j),(10246+5376j),(-14416-32640j),(1152+0j),0j
