mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747747192.7106996,0j,0j,0j,(-5120+5120j),(-220+80j),(-155+197j),(-28+260j),(98+253j),(193+199j),(265+124j),(306+21j),(312-90j),(290-194j),(223-280j),(145-344j),(48-384j),(-62-396j),(-152-395j),(-280-367j),(-380-301j),(-463-188j),(-523-77j),(-538+73j),(-530+201j),(-482+335j),(-389+450j),(-300+539j),(-175+620j),(-14+663j),(123+670j),(287+655j),(456+547j),0j,(699+330j),(758+171j),(778-26j),(778-236j),(696-402j),(598-570j),(441-681j),(267-796j),(95-836j),(-165-853j),(-368-800j),(-580-647j),(-714-500j),(-799-263j),(-845-58j),(-806+202j),(-733+441j),(-535+631j),(-330+771j),(-56+803j),(204+760j),(461+621j),(669+405j),(762+95j),(733-237j),(508-553j),(133-727j),(10246+5376j),(-13392-32640j),(1152+0j),0j
38182b2eef40,1747747192.729778,0j,0j,0j,(-5120+5120j),(-192+95j),(-132+179j),(-30+239j),(64+247j),(147+213j),(218+178j),(256+129j),(281+74j),(305+3j),(308-59j),(309-120j),(292-187j),(272-253j),(246-308j),(195-350j),(143-400j),(83-444j),(18-460j),(-65-472j),(-148-477j),(-216-476j),(-296-464j),(-358-419j),(-425-375j),(-490-324j),(-536-271j),(-595-192j),(-631-144j),0j,(-719+99j),(-667+167j),(-659+256j),(-607+355j),(-558+459j),(-491+548j),(-396+605j),(-312+682j),(-195+733j),(-80+773j),(42+780j),(180+738j),(310+710j),(420+637j),(530+529j),(634+427j),(689+280j),(729+117j),(731-49j),(668-219j),(587-359j),(446-497j),(289-599j),(101-660j),(-149-643j),(-385-530j),(-560-284j),(10246+5376j),(-13648-32640j),(128+0j),0j
38182b2eef40,1747747192.7415185,0j,0j,0j,(-5120+5120j),(179+184j),(236+58j),(233-73j),(186-176j),(104-241j),(12-275j),(-72-280j),(-157-247j),(-243-207j),(-299-127j),(-337-43j),(-353+41j),(-353+127j),(-334+219j),(-294+309j),(-217+386j),(-128+438j),(-28+467j),(92+478j),(207+468j),(331+431j),(428+359j),(499+267j),(554+162j),(585+46j),(603-81j),(594-214j),(543-332j),0j,(370-576j),(257-645j),(123-699j),(-42-726j),(-219-710j),(-388-657j),(-506-537j),(-630-428j),(-716-279j),(-781-96j),(-804+80j),(-737+274j),(-634+447j),(-490+581j),(-325+693j),(-141+753j),(80+759j),(310+692j),(502+563j),(626+362j),(689+151j),(674-92j),(605-339j),(444-528j),(172-650j),(-155-622j),(-449-415j),(10246+5376j),(-13648-32640j),(128+0j),0j
38182b2eef40,1747747192.7614608,0j,0j,0j,(-5120+5120j),(182+116j),(216+16j),(202-97j),(143-187j),(60-235j),(-28-248j),(-116-243j),(-192-211j),(-255-158j),(-308-84j),(-335-4j),(-339+85j),(-330+186j),(-299+281j),(-237+360j),(-148+427j),(-47+472j),(64+494j),(189+483j),(326+445j),(436+376j),(499+277j),(574+144j),(613+26j),(619-100j),(600-249j),(557-387j),(458-530j),0j,(218-699j),(67-730j),(-101-749j),(-290-728j),(-468-657j),(-608-544j),(-692-384j),(-794-219j),(-825-37j),(-826+171j),(-771+368j),(-650+551j),(-482+694j),(-289+779j),(-75+809j),(146+807j),(360+736j),(570+600j),(716+398j),(787+137j),(772-118j),(659-366j),(474-577j),(221-718j),(-106-727j),(-443-576j),(-658-255j),(10246+5376j),(-13392-32640j),(128+0j),0j
38182b2eef40,1747747192.770814,0j,0j,0j,(-5120+5120j),(164+37j),(180-50j),(156-128j),(113-178j),(63-206j),-228j,(-64-232j),(-137-212j),(-197-198j),(-246-160j),(-288-111j),(-327-60j),(-364-3j),(-390+64j),(-407+131j),(-400+202j),(-373+284j),(-322+361j),(-267+427j),(-202+490j),(-124+546j),(-23+574j),(59+591j),(150+598j),(245+589j),(335+559j),(419+515j),(513+451j),0j,(703+304j),(680+205j),(736+96j),(775-23j),(786-149j),(765-273j),(715-365j),(629-487j),(551-587j),(448-695j),(330-777j),(190-829j),(35-855j),(-136-834j),(-295-772j),(-439-699j),(-578-600j),(-703-453j),(-777-276j),(-796-76j),(-753+130j),(-688+330j),(-545+520j),(-346+667j),(-83+741j),(227+705j),(508+513j),(10246+5376j),(-13392-32640j),(128+0j),0j
38182b2eef40,1747747192.7808,0j,0j,0j,(-5120+5120j),(-136+121j),(-32+147j),(52+149j),(115+122j),(165+86j),(194+33j),(213-21j),(209-81j),(193-148j),(152-206j),(102-265j),(40-297j),(-41-325j),(-112-336j),(-203-322j),(-290-298j),(-369-230j),(-448-150j),(-487-54j),(-512+62j),(-506+161j),(-468+264j),(-429+374j),(-348+467j),(-256+556j),(-137+614j),(-8+649j),(100+657j),0j,(403+616j),(502+508j),(616+402j),(706+280j),(757+120j),(781-37j),(742-198j),(706-360j),(620-500j),(508-646j),(362-742j),(169-813j),(-20-818j),(-227-777j),(-402-691j),(-567-560j),(-688-402j),(-766-200j),(-777+6j),(-725+233j),(-589+427j),(-430+601j),(-207+712j),(83+727j),(359+624j),(582+364j),(670+27j),(10246+5376j),(-13648-32640j),(128+0j),0j
38182b2eef40,1747747192.7933114,0j,0j,0j,(-5120+5120j),(12-92j),(-25-88j),(-63-81j),(-107-56j),(-134-33j),(-163-2j),(-176+36j),(-166+91j),(-151+138j),(-122+177j),(-99+217j),(-72+256j),(-40+296j),(18+325j),(78+337j),(145+342j),(221+326j),(288+296j),(353+265j),(405+209j),(458+166j),(493+80j),(532+4j),(544-77j),(546-158j),(534-220j),(526-303j),(464-379j),0j,(361-577j),(303-592j),(212-651j),(107-689j),(-1-718j),(-128-727j),(-228-682j),(-359-662j),(-451-600j),(-534-541j),(-620-449j),(-680-332j),(-712-210j),(-732-66j),(-728+66j),(-709+207j),(-656+351j),(-572+475j),(-446+579j),(-283+660j),(-95+680j),(91+668j),(269+612j),(433+510j),(570+336j),(646+81j),(591-219j),(10246+5376j),(-13904-32640j),(128+0j),0j
38182b2eef40,1747747192.8007426,0j,0j,0j,(-5120+5120j),(64+100j),(116+26j),(117-71j),(75-139j),(-12-173j),(-104-150j),(-187-81j),(-232+47j),(-202+146j),(-129+250j),(-26+316j),(128+329j),(276+268j),(402+122j),(440-62j),(401-266j),(272-425j),(79-544j),(-160-547j),(-393-463j),(-576-254j),(-658-7j),(-633+287j),(-495+528j),(-244+717j),(45+780j),(360+722j),(614+484j),0j,(888-69j),(788-461j),(535-737j),(196-913j),(-193-908j),(-550-790j),(-802-495j),(-961-141j),(-932+274j),(-768+628j),(-434+907j),(-13+990j),(419+899j),(738+616j),(938+253j),(930-188j),(750-584j),(392-852j),(-40-926j),(-464-791j),(-748-424j),(-883+8j),(-735+460j),(-364+770j),(149+820j),(620+530j),(782-22j),(10246+5376j),(-13904-32640j),(128+0j),0j
38182b2eef40,1747747192.8107862,0j,0j,0j,(-5120+5120j),(-34+63j),(10+104j),(55+106j),(95+86j),(131+56j),(162+15j),(180-33j),(178-92j),(179-144j),(151-199j),(110-254j),(48-300j),(-26-324j),(-91-337j),(-164-352j),(-254-352j),(-353-323j),(-446-260j),(-510-174j),(-552-93j),(-594-9j),(-612+92j),(-629+207j),(-604+316j),(-558+418j),(-491+512j),(-400+604j),(-304+670j),0j,(-59+864j),(83+823j),(230+836j),(384+811j),(522+738j),(639+642j),(726+521j),(819+375j),(871+237j),(921+93j),(942-77j),(919-258j),(842-438j),(712-593j),(562-708j),(396-802j),(206-871j),(2-884j),(-201-850j),(-404-761j),(-565-593j),(-702-419j),(-784-186j),(-790+81j),(-691+360j),(-464+606j),(-113+741j),(10246+5376j),(-14160-32640j),(1152+0j),0j
38182b2eef40,1747747192.8517377,0j,0j,0j,(-5120+5120j),(107+26j),(91-51j),(29-103j),(-58-99j),(-127-30j),(-126+81j),(-36+169j),(102+169j),(211+60j),(218-100j),(118-233j),(-48-278j),(-219-216j),(-336-55j),(-334+170j),(-183+365j),(77+432j),(338+319j),(485+62j),(451-244j),(239-482j),(-78-572j),(-401-423j),(-589-126j),(-572+232j),(-353+524j),(-2+650j),(399+612j),0j,(766-257j),(493-561j),(76-767j),(-397-684j),(-733-331j),(-798+152j),(-579+571j),(-145+812j),(343+758j),(724+429j),(845-73j),(646-560j),(187-835j),(-351-780j),(-748-407j),(-833+132j),(-568+611j),(-63+815j),(447+656j),(741+220j),(689-296j),(320-668j),(-219-696j),(-636-335j),(-663+229j),(-259+622j),(286+562j),(10246+5376j),(-14416-32640j),(1152+0j),0j
