mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747747852.929527,0j,0j,0j,(-5120+5120j),(-607+3j),(-501+331j),(-278+551j),(-16+610j),(231+564j),(427+461j),(540+297j),(623+108j),(629-79j),(580-257j),(494-387j),(399-520j),(276-603j),(129-663j),(-10-692j),(-159-671j),(-303-623j),(-429-555j),(-521-442j),(-608-336j),(-670-219j),(-695-87j),(-694+45j),(-676+171j),(-635+279j),(-575+375j),(-500+485j),(-392+571j),0j,(-183+686j),(-85+686j),(35+705j),(168+683j),(283+642j),(396+586j),(476+482j),(569+382j),(619+279j),(666+156j),(710+32j),(685-122j),(644-261j),(564-379j),(468-482j),(347-563j),(208-630j),(46-661j),(-124-657j),(-295-572j),(-436-458j),(-558-311j),(-635-125j),(-634+94j),(-553+329j),(-355+538j),(-45+639j),(10246+5376j),(-11856-32640j),(1152+0j),0j
38182b2eef40,1747747852.9409826,0j,0j,0j,(-5120+5120j),(-535+228j),(-345+484j),(-74+591j),(187+588j),(362+491j),(514+351j),(600+176j),(631+18j),(632-145j),(569-300j),(496-406j),(394-503j),(309-580j),(204-645j),(88-677j),(-21-690j),(-152-680j),(-274-654j),(-376-593j),(-459-502j),(-520-454j),(-585-370j),(-636-272j),(-678-182j),(-683-91j),(-704+4j),(-706+96j),(-678+196j),0j,(-609+383j),(-568+434j),(-499+519j),(-418+564j),(-315+617j),(-235+677j),(-127+668j),(-34+699j),(72+693j),(170+697j),(256+652j),(363+583j),(445+529j),(539+439j),(589+331j),(646+215j),(670+68j),(663-54j),(641-199j),(560-326j),(454-448j),(319-565j),(156-607j),(-36-646j),(-247-592j),(-477-450j),(-606-157j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747747852.9515715,0j,0j,0j,(-5120+5120j),(360+490j),(571+205j),(611-143j),(464-395j),(255-556j),(28-637j),(-199-574j),(-199-574j),(-563-355j),(-620-156j),(-641+29j),(-607+199j),(-567+349j),(-452+498j),(-323+609j),(-166+671j),(3+693j),(171+676j),(321+615j),(452+526j),(576+443j),(641+270j),(681+144j),(697-3j),(685-149j),(657-286j),(574-412j),(482-542j),0j,(210-670j),(80-695j),(-64-720j),(-202-675j),(-356-631j),(-481-541j),(-557-400j),(-639-267j),(-690-133j),(-693+5j),(-693+162j),(-621+321j),(-523+451j),(-390+551j),(-244+623j),(-79+686j),(104+669j),(290+611j),(459+515j),(559+321j),(610+160j),(636-80j),(581-289j),(442-489j),(208-611j),(-98-635j),(-407-477j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747747852.962557,0j,0j,0j,(-5120+5120j),(-574+360j),(-281+605j),(66+676j),(372+564j),(571+385j),(677+145j),(697-97j),(620-313j),(496-500j),(328-618j),(154-695j),(-42-728j),(-251-700j),(-407-619j),(-538-513j),(-659-397j),(-734-232j),(-781-64j),(-763+105j),(-721+271j),(-654+402j),(-565+530j),(-442+632j),(-314+705j),(-165+766j),(-5+783j),(159+765j),(296+712j),0j,(550+558j),(643+451j),(713+321j),(755+181j),(768+29j),(761-113j),(720-272j),(648-404j),(555-525j),(434-646j),(280-721j),(109-751j),(-55-752j),(-212-716j),(-372-651j),(-522-542j),(-644-385j),(-706-209j),(-731-22j),(-702+186j),(-598+385j),(-457+555j),(-240+677j),(25+711j),(303+639j),(559+417j),(686+77j),(10246+6144j),(-11600-32640j),(128+0j),0j
38182b2eef40,1747747852.9740582,0j,0j,0j,(-5120+5120j),(-243-557j),(-587-165j),(-506+341j),(-128+599j),(289+552j),(583+258j),(620-151j),(407-490j),(50-656j),(-322-553j),(-574-310j),(-675+51j),(-551+419j),(-259+623j),(88+671j),(425+550j),(637+257j),(709-96j),(553-436j),(267-664j),(-80-706j),(-412-571j),(-632-311j),(-713+18j),(-629+365j),(-378+621j),(-36+713j),(305+626j),0j,(716+98j),(665-222j),(479-510j),(206-691j),(-139-697j),(-480-552j),(-640-237j),(-700+108j),(-568+411j),(-284+653j),(66+720j),(407+573j),(625+279j),(675-58j),(567-394j),(289-620j),(-81-681j),(-438-528j),(-648-217j),(-651+173j),(-418+494j),(-50+649j),(356+558j),(623+217j),(602-240j),(284-581j),(-251-604j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747747852.9966047,0j,0j,0j,(-5120+5120j),(213+588j),(549+288j),(585-160j),(361-488j),(-1-624j),(-325-518j),(-566-295j),(-633+27j),(-554+342j),(-321+566j),(-40+656j),(264+616j),(508+458j),(663+202j),(698-86j),(604-375j),(403-593j),(126-707j),(-169-692j),(-426-567j),(-616-347j),(-707-94j),(-686+191j),(-570+427j),(-361+620j),(-111+715j),(178+702j),(431+552j),0j,(746+147j),(710-149j),(597-394j),(408-592j),(162-698j),(-120-725j),(-384-593j),(-580-423j),(-689-162j),(-713+100j),(-618+398j),(-403+592j),(-122+701j),(157+673j),(447+568j),(617+301j),(712+23j),(577-308j),(461-509j),(68-724j),(-120-653j),(-538-449j),(-526-94j),(-632+102j),(-392+497j),(-93+607j),(413+534j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747747853.0002668,0j,0j,0j,(-5120+5120j),(-304-456j),(-522-248j),(-555+42j),(-490+275j),(-368+449j),(-199+545j),(-18+573j),(138+565j),(304+504j),(432+402j),(521+289j),(595+169j),(628+49j),(628-75j),(612-169j),(565-304j),(495-409j),(407-517j),(308-564j),(214-616j),(128-651j),(-8-658j),(-109-643j),(-210-629j),(-312-577j),(-394-523j),(-464-474j),(-522-373j),0j,(-619-205j),(-651-115j),(-656-15j),(-648+84j),(-624+187j),(-608+287j),(-519+350j),(-458+460j),(-380+505j),(-304+574j),(-196+624j),(-71+635j),(36+618j),(145+606j),(268+570j),(379+513j),(479+413j),(554+292j),(604+157j),(602-4j),(554-123j),(506-296j),(398-444j),(242-552j),(27-579j),(-218-540j),(-443-371j),(10246+11520j),(-11344-32640j),(128+0j),0j
38182b2eef40,1747747853.0209866,0j,0j,0j,(-5120+5120j),(99+591j),(388+468j),(555+237j),(619-32j),(574-250j),(473-425j),(324-557j),(156-608j),(-8-660j),(-191-623j),(-319-575j),(-450-497j),(-541-414j),(-622-305j),(-686-187j),(-695-74j),(-711+78j),(-701+200j),(-631+314j),(-579+419j),(-531+507j),(-453+588j),(-330+651j),(-233+688j),(-136+710j),(-39+723j),(55+712j),(177+698j),0j,(371+642j),(440+581j),(525+511j),(599+425j),(652+331j),(700+238j),(690+111j),(712+10j),(699-94j),(696-201j),(657-308j),(567-416j),(498-501j),(413-573j),(298-636j),(167-687j),(35-701j),(-126-670j),(-275-631j),(-405-543j),(-507-396j),(-607-254j),(-656-61j),(-640+130j),(-554+352j),(-363+558j),(-72+650j),(10246+5376j),(-11856-32640j),(128+0j),0j
38182b2eef40,1747747853.0335221,0j,0j,0j,(-5120+5120j),(584+196j),(616-151j),(454-441j),(205-593j),(-19-620j),(-254-592j),(-440-469j),(-563-294j),(-657-120j),(-659+76j),(-619+224j),(-551+381j),(-460+528j),(-338+614j),(-178+679j),(-17+693j),(129+682j),(264+678j),(391+594j),(512+496j),(611+417j),(662+278j),(718+129j),(705-1j),(719-138j),(681-244j),(621-376j),(521-466j),0j,(351-644j),(229-687j),(100-712j),(-21-729j),(-161-702j),(-298-690j),(-406-590j),(-519-513j),(-581-401j),(-680-277j),(-721-166j),(-717+15j),(-686+145j),(-635+281j),(-578+411j),(-456+524j),(-328+618j),(-154+671j),(26+691j),(205+634j),(368+520j),(511+391j),(634+205j),(662-22j),(600-271j),(415-502j),(119-649j),(10246+5376j),(-11856-32640j),(1152+0j),0j
38182b2eef40,1747747853.043903,0j,0j,0j,(-5120+5120j),(206-579j),(-124-606j),(-408-471j),(-566-261j),(-642-58j),(-618+161j),(-553+346j),(-423+484j),(-282+596j),(-122+637j),(20+657j),(160+665j),(312+620j),(420+553j),(528+469j),(613+359j),(665+244j),(714+129j),(718+2j),(704-127j),(687-234j),(634-348j),(566-440j),(492-521j),(426-590j),(342-653j),(249-686j),(121-705j),0j,(-86-736j),(-170-716j),(-283-669j),(-375-629j),(-458-558j),(-552-496j),(-597-393j),(-664-286j),(-688-193j),(-729-81j),(-730+34j),(-703+165j),(-651+269j),(-575+390j),(-496+477j),(-396+560j),(-267+649j),(-117+680j),(32+683j),(194+646j),(345+568j),(484+441j),(600+285j),(665+96j),(642-141j),(528-393j),(285-592j),(10246+5376j),(-11856-32640j),(128+0j),0j
