mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
38182b2eef40,1747748017.1052604,0j,0j,0j,(-5120+5120j),(366+562j),(618+287j),(679-75j),(579-367j),(380-568j),(173-673j),(-67-694j),(-276-633j),(-473-531j),(-593-379j),(-673-220j),(-709-57j),(-728+111j),(-686+273j),(-626+423j),(-526+552j),(-388+656j),(-246+738j),(-91+757j),(62+746j),(199+739j),(335+681j),(467+607j),(561+515j),(634+409j),(705+300j),(750+164j),(761+33j),0j,(733-238j),(669-365j),(603-482j),(506-574j),(397-661j),(268-729j),(132-725j),(-24-743j),(-152-722j),(-281-697j),(-410-633j),(-524-531j),(-616-397j),(-670-254j),(-710-96j),(-706+62j),(-669+229j),(-588+381j),(-471+513j),(-303+600j),(-119+659j),(87+649j),(284+595j),(464+469j),(596+255j),(649-29j),(529-343j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1162086,0j,0j,0j,(-5120+5120j),(-246+623j),(122+660j),(414+539j),(597+325j),(676+108j),(685-107j),(618-286j),(515-452j),(418-589j),(250-643j),(111-687j),(-33-713j),(-165-722j),(-291-681j),(-412-634j),(-514-550j),(-592-456j),(-669-354j),(-725-236j),(-729-134j),(-764-37j),(-728+76j),(-748+171j),(-708+280j),(-664+368j),(-624+453j),(-554+529j),(-452+594j),0j,(-302+707j),(-212+738j),(-120+760j),(-11+777j),(96+756j),(190+752j),(289+694j),(373+640j),(447+578j),(528+525j),(609+431j),(664+311j),(698+200j),(699+82j),(695-31j),(695-154j),(643-289j),(559-402j),(472-500j),(341-586j),(168-629j),(19-660j),(-159-627j),(-341-555j),(-500-399j),(-619-174j),(-627+126j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1262474,0j,0j,0j,(-5120+5120j),(-526-404j),(-672-56j),(-617+287j),(-431+529j),(-215+660j),(25+696j),(266+642j),(457+520j),(581+397j),(671+214j),(698+48j),(691-127j),(684-284j),(617-428j),(505-552j),(385-645j),(253-705j),(101-758j),(-56-768j),(-201-723j),(-334-700j),(-434-611j),(-547-529j),(-616-427j),(-671-325j),(-735-197j),(-754-70j),(-760+80j),0j,(-711+303j),(-631+413j),(-567+519j),(-476+606j),(-360+692j),(-234+740j),(-94+747j),(36+744j),(153+722j),(292+690j),(420+630j),(526+521j),(610+393j),(670+259j),(693+108j),(716-38j),(672-188j),(613-349j),(501-485j),(343-575j),(173-649j),(-20-655j),(-234-608j),(-428-507j),(-564-312j),(-650-36j),(-570+267j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1356158,0j,0j,0j,(-5120+5120j),(245+630j),(577+359j),(682-3j),(596-335j),(393-550j),(165-682j),(-102-677j),(-329-602j),(-536-473j),(-642-262j),(-703-80j),(-698+127j),(-667+328j),(-535+484j),(-415+629j),(-249+708j),(-67+747j),(137+761j),(308+700j),(472+585j),(594+495j),(682+341j),(746+169j),(778+2j),(751-164j),(716-328j),(607-443j),(463-598j),0j,(203-746j),(28-765j),(-121-755j),(-273-714j),(-434-648j),(-582-537j),(-630-362j),(-719-222j),(-719-222j),(-741+130j),(-697+285j),(-582+456j),(-458+573j),(-300+657j),(-112+697j),(74+706j),(253+656j),(426+546j),(575+397j),(645+192j),(650-12j),(596-241j),(486-437j),(278-594j),(7-647j),(-292-579j),(-543-329j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1462457,0j,0j,0j,(-5120+5120j),(-662-52j),(-601+329j),(-363+585j),(-67+681j),(187+658j),(409+566j),(556+402j),(653+212j),(714+25j),(680-184j),(628-333j),(532-457j),(437-593j),(304-674j),(165-740j),(6-761j),(-147-743j),(-302-707j),(-432-627j),(-511-535j),(-619-444j),(-686-320j),(-733-176j),(-759-68j),(-746+54j),(-739+174j),(-707+294j),(-643+408j),0j,(-483+614j),(-384+667j),(-266+729j),(-148+749j),(-15+767j),(116+774j),(237+694j),(372+650j),(469+569j),(563+483j),(641+390j),(694+249j),(728+113j),(733-39j),(688-168j),(643-321j),(544-452j),(404-564j),(262-642j),(84-666j),(-94-648j),(-282-589j),(-436-469j),(-576-310j),(-642-79j),(-621+205j),(-431+459j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1562285,0j,0j,0j,(-5120+5120j),(482+459j),(658+155j),(658-155j),(553-396j),(388-563j),(224-655j),(38-697j),(-149-676j),(-304-652j),(-433-549j),(-530-463j),(-614-371j),(-700-278j),(-728-166j),(-753-46j),(-754+56j),(-736+181j),(-708+300j),(-660+387j),(-591+465j),(-541+550j),(-470+605j),(-394+663j),(-310+694j),(-242+730j),(-156+764j),(-84+756j),(30+751j),0j,(198+746j),(275+713j),(353+691j),(421+647j),(504+587j),(571+532j),(599+428j),(663+352j),(688+274j),(729+185j),(749+103j),(731-28j),(713-124j),(678-211j),(635-319j),(581-409j),(491-510j),(381-591j),(280-645j),(125-666j),(-25-651j),(-173-631j),(-326-555j),(-477-469j),(-580-273j),(-646-38j),(-583+240j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1678762,0j,0j,0j,(-5120+5120j),(-586-330j),(-672+4j),(-607+320j),(-434+536j),(-243+641j),(-46+687j),(143+680j),(324+620j),(480+542j),(568+409j),(637+294j),(694+187j),(736+65j),(738-55j),(735-178j),(710-293j),(641-412j),(572-512j),(487-582j),(404-638j),(330-686j),(256-732j),(133-745j),(42-754j),(-39-755j),(-128-751j),(-219-733j),(-310-682j),0j,(-470-630j),(-528-553j),(-582-494j),(-642-432j),(-690-338j),(-735-253j),(-732-160j),(-750-49j),(-743+48j),(-735+134j),(-711+232j),(-662+332j),(-612+416j),(-526+500j),(-432+574j),(-334+630j),(-215+681j),(-75+695j),(60+686j),(206+658j),(330+588j),(450+477j),(563+350j),(645+174j),(651-53j),(579-293j),(377-506j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.1761847,0j,0j,0j,(-5120+5120j),(-20+672j),(334+584j),(586+347j),(675+77j),(661-175j),(588-384j),(428-526j),(273-642j),(105-712j),(-69-696j),(-238-672j),(-369-602j),(-516-535j),(-618-430j),(-688-309j),(-734-171j),(-768-41j),(-759+106j),(-725+241j),(-668+335j),(-631+444j),(-532+519j),(-472+606j),(-361+671j),(-261+706j),(-150+750j),(-36+765j),(91+759j),0j,(293+727j),(398+646j),(495+593j),(564+520j),(639+430j),(685+344j),(679+217j),(738+108j),(739-13j),(739-134j),(709-260j),(632-381j),(550-472j),(466-550j),(340-624j),(223-689j),(71-705j),(-89-706j),(-221-670j),(-365-572j),(-498-445j),(-582-294j),(-642-117j),(-644+103j),(-558+319j),(-392+521j),(-108+625j),(10246+6144j),(-11088-32640j),(128+0j),0j
38182b2eef40,1747748017.18552,0j,0j,0j,(-5120+5120j),(-506-417j),(-702-54j),(-595+315j),(-359+560j),(-70+676j),(229+655j),(483+526j),(632+305j),(713+66j),(685-169j),(589-389j),(444-554j),(252-680j),(44-733j),(-171-731j),(-378-657j),(-539-535j),(-670-383j),(-749-190j),(-768+13j),(-738+205j),(-654+394j),(-544+540j),(-392+660j),(-212+739j),(-24+765j),(168+749j),(352+667j),0j,(621+472j),(716+278j),(757+100j),(766-76j),(723-260j),(646-436j),(494-549j),(358-673j),(158-730j),(-26-734j),(-219-717j),(-405-608j),(-548-473j),(-645-311j),(-724-102j),(-717+114j),(-625+327j),(-502+480j),(-310+606j),(-103+642j),(173+712j),(418+475j),(299+322j),(641+236j),(587-204j),(437-469j),(124-652j),(10246+6144j),(-10832-32640j),(128+0j),0j
38182b2eef40,1747748017.1902897,0j,0j,0j,(-5120+5120j),(531-241j),(191-568j),(-239-535j),(-564-290j),(-559+69j),(-501+422j),(-165+548j),(121+625j),(424+455j),(581+210j),(603-93j),(473-319j),(320-560j),(23-631j),(-248-620j),(-487-450j),(-668-226j),(-619+70j),(-615+339j),(-357+491j),(-179+700j),(78+657j),(351+561j),(550+367j),(603+126j),(659-126j),(537-375j),(371-581j),0j,(-110-693j),(-352-497j),(-602-400j),(-604-131j),(-697+145j),(-588+376j),(-326+531j),(-109+639j),(152+617j),(365+480j),(589+328j),(638+43j),(597-215j),(489-459j),(195-529j),(-56-674j),(-275-501j),(-538-349j),(-619-90j),(-531+227j),(-531+227j),(-86+580j),(120+371j),(509+404j),(562+33j),(497-333j),(101-523j),(10246+6912j),(-10576-32640j),(128+0j),0j
